Start,Steps,Max Value,Even Steps,Odd Steps
40159,119,609928,79,40
65418,55,98128,40,15
23290,144,44224,94,50
9824,42,9824,31,11
60161,91,180484,62,29
41976,88,179332,60,28
9541,104,39364,69,35
16365,128,95956,84,44
4612,152,9232,98,54
27664,108,27664,72,36
51992,140,51992,92,48
57680,60,57680,43,17
30978,147,46468,96,51
94705,102,284116,69,33
49116,127,95956,84,43
91008,71,91008,50,21
88224,133,88224,88,45
60891,60,462400,43,17
66388,130,66388,86,44
18072,40,18072,30,10
59276,135,66688,89,46
72370,42,122128,32,10
11939,94,53728,63,31
35196,103,133648,69,34
91681,84,275044,58,26
4001,43,12004,31,12
70589,280,11003416,178,102
93611,221,5764660,142,79
97857,159,293572,104,55
38305,155,114916,101,54
69450,81,104176,56,25
82987,89,373444,61,28
89644,164,817936,107,57
20765,74,94768,51,23
86028,76,96784,53,23
38495,75,584656,52,23
3374,43,11392,31,12
12162,63,18244,44,19
97533,190,555496,123,67
92659,115,416968,77,38
27351,183,184624,118,65
93009,159,3818500,104,55
94298,84,141448,58,26
25352,56,25352,40,16
88669,71,266008,50,21
15306,84,39364,57,27
75354,107,113032,72,35
76798,169,2952448,110,59
65954,161,98932,105,56
57459,153,258568,100,53
20359,35,137428,27,8
3268,43,3268,31,12
82746,89,176740,61,28
89589,71,268768,50,21
38514,106,138832,71,35
26093,201,190996,129,72
11339,130,51028,85,45
413,89,9232,58,31
7544,39,9556,29,10
33497,41,113056,31,10
60693,73,182080,51,22
89085,146,6171712,96,50
92921,177,352816,115,62
44426,132,66640,87,45
38757,75,116272,52,23
18889,61,95632,43,18
35736,142,35736,93,49
47296,26,47296,22,4
83043,226,373696,145,81
86000,102,275560,69,33
17956,92,25576,62,30
37842,106,517912,71,35
70641,174,211924,113,61
65511,267,9693268,170,97
34912,49,34912,36,13
59032,104,95956,70,34
88727,58,598912,42,16
7358,163,55888,105,58
32480,41,32480,31,10
61477,104,599056,70,34
44812,70,50416,49,21
36209,41,108628,31,10
20151,92,136024,62,30
71181,37,213544,29,8
43287,163,292192,106,57
68451,68,308032,48,20
21353,48,162160,35,13
55070,153,278800,100,53
14398,164,138400,106,58
41556,150,41556,98,52
46960,145,46960,95,50
729,33,2464,24,9
50518,65,113668,46,19
66235,161,335320,105,56
39955,168,179800,109,59
47281,176,182068,114,62
79460,120,79460,80,40
16780,66,18880,46,20
63933,148,191800,97,51
72937,68,553876,48,20
24467,126,110104,83,43
36940,111,41560,74,37
69897,156,353860,102,54
35271,124,238084,82,42
59164,60,99844,43,17
82638,120,1058992,80,40
51935,109,899584,73,36
64896,42,64896,32,10
32308,116,32308,77,39
54099,122,462184,81,41
60922,60,494080,43,17
5487,54,62512,38,16
8336,127,9232,83,44
86901,102,260704,69,33
89113,146,1465108,96,50
97204,66,97204,47,19
11131,73,304720,50,23
87509,45,262528,34,11
60567,135,408832,89,46
66704,161,66704,105,56
27193,90,91780,61,29
1063,75,8080,50,25
84077,120,359152,80,40
89781,164,269344,107,57
21546,69,32320,48,21
21690,118,32536,78,40
11175,117,305908,77,40
88462,133,298564,88,45
9349,60,28048,42,18
23715,188,250504,121,67
